coupon_record_id,userid,coupon_type,coupon_status,create_time,update_time,sex,level,current_integral,age_group
000648129a314ecb8955fa3e61b155b3,148ceacc3edd4392866f74bc197048a0,daily_parking_coupon,unavailable,30/10/2022 16:05:00,31/10/2022 16:00:00,未知,平台会员,0,未知
0012553d1b054788a770274573466b35,f56aa5e066eb4dcd84f2af1766d778af,daily_parking_coupon,unavailable,12/5/2026 16:05:01,13/5/2026 16:00:00,女,菁英会员,200155,90后
0014ad626ec04a758b5812958ca0130f,c0f45aba3a6a4113ab87412d0e90dd57,daily_parking_coupon,unavailable,21/5/2024 16:05:00,22/5/2024 16:00:00,男,菁英会员,157610,80后
0026237ec9ec45209674aec60b41e541,8bf1fbb8a884491193f8c1882e054d75,daily_parking_coupon,unavailable,21/11/2024 16:05:00,22/11/2024 16:00:00,男,菁英会员,19000,90后
00274aa0ffd44f688bcb37cf4bbb236a,148ceacc3edd4392866f74bc197048a0,daily_parking_coupon,unavailable,4/10/2022 16:05:00,5/10/2022 16:00:00,未知,平台会员,0,未知
0028bc854da74ed5b95b1e1fd56d0548,05f6309b98aa4d2ab4591caa65f1d372,daily_parking_coupon,unavailable,6/3/2022 16:05:00,7/3/2022 16:00:00,女,菁英会员,0,80后
00295e911c5d426eb2f03a3cedbbbaab,371144ae00874a54810c35b22d695e18,daily_parking_coupon,unavailable,7/6/2026 16:05:00,8/6/2026 16:00:00,男,菁英会员,110000,70后
002a8e1c77c542c791973133fe48805c,8bf1fbb8a884491193f8c1882e054d75,daily_parking_coupon,unavailable,27/4/2025 16:05:00,28/4/2025 16:00:00,男,菁英会员,19000,90后
002ce46546a74151ad046a6e1ae04928,eec990e8701e4d708d0f420a8a13d22d,daily_parking_coupon,unavailable,19/11/2024 16:05:00,20/11/2024 16:00:00,男,菁英会员,12000,90后
002ed76bd5af403d9a44d7e287bd019d,5c68f5298c08453c8ab17b23aaf6107c,daily_parking_coupon,unavailable,14/2/2024 16:05:00,15/2/2024 16:00:00,女,菁英会员,17050,80后
00322b3d7f1543559d0e2b52e232ba3c,fb7d5db3330b4cf09c846f701e9ab2da,user_exchange,takeback,16/12/2025 04:04:33,16/12/2025 04:09:27,男,菁英会员,573642,00后
00355f3bf4774a0484f991019bfac762,8bf1fbb8a884491193f8c1882e054d75,daily_parking_coupon,unavailable,1/7/2025 16:05:00,2/7/2025 16:00:00,男,菁英会员,19000,90后
0036df70c1854d4b9054156d916f7a7b,0fc0cfb54a2d45669d1b661fd0b11fa5,user_exchange,unavailable,16/12/2025 05:04:26,30/12/2025 16:02:00,未知,菁英会员,650000,未知
0038d24bd55045d38f2d623508d7df8b,b4db7aba29044a19a260cba4c475fd3c,user_exchange,unavailable,21/2/2023 07:45:33,27/2/2023 16:01:00,未知,平台会员,0,未知
003a90c5fb4f413db89535f0a0646992,751695cc49824f758de3bae9654a0266,daily_parking_coupon,unavailable,27/2/2025 16:05:00,28/2/2025 16:00:00,男,菁英会员,6279210,80后
0049f6049e9c4f4fbbaeda3a5ca5eb01,ac25edadd9f045c0b278bfffdbc362f3,daily_parking_coupon,unavailable,18/11/2024 16:05:00,19/11/2024 16:00:00,女,菁英会员,0,90后
004c6de3e82042a4a22e89f2acb2ca38,58c2018af87c48919a45b991594bf654,daily_parking_coupon,unavailable,7/5/2024 16:05:00,8/5/2024 16:00:00,男,菁英会员,0,90后
0056cb40bf4f424a9efd7ba30409126b,8bf1fbb8a884491193f8c1882e054d75,daily_parking_coupon,unavailable,17/12/2024 16:05:00,18/12/2024 16:00:00,男,菁英会员,19000,90后
0058006814674532a1b92ba92175a671,5c68f5298c08453c8ab17b23aaf6107c,daily_parking_coupon,unavailable,27/10/2025 16:05:00,28/10/2025 16:00:00,女,菁英会员,17050,80后
0058026d38a144cfbb23d997e7061cd2,9cbc64f62b494da584d3030f8afdd9cd,daily_parking_coupon,unavailable,8/1/2026 16:05:00,9/1/2026 16:00:00,男,菁英会员,22000,90后
00593f6852ca4a3a852ca991b7a2cbc5,751695cc49824f758de3bae9654a0266,daily_parking_coupon,unavailable,26/3/2024 16:05:00,27/3/2024 16:00:00,男,菁英会员,6279210,80后
005fbeaa765c4948b42033ee92328a1d,f56aa5e066eb4dcd84f2af1766d778af,daily_parking_coupon,unavailable,9/1/2024 16:05:00,10/1/2024 16:00:00,女,菁英会员,200155,90后
